"Stratum","Total","NotSampled","Rejected","Sampled","DesiredSS","PropArea","PropTarget","Acres","ApproxStWgt","Area"
"AS",20,5,11,4,5,0.0148387942988408,0.01,12932.2487064045,12932.2487064045,"SampleFrame"
"GR",20,12,0,8,5,0.0205015231773546,0.02,17867.4083116293,17867.4083116293,"SampleFrame"
"MC",30,0,21,9,15,0.017599601100546,0.05,15338.3363892005,5112.77879640017,"SampleFrame"
"MMS",40,6,6,28,25,0.070982004102295,0.1,61861.9621138364,12372.3924227673,"SampleFrame"
"OT",20,6,8,6,5,0.0191452344121209,0.01,16685.3807643457,16685.3807643457,"SampleFrame"
"PJ",40,0,8,32,25,0.407164266856385,0.12,354850.229560696,70970.0459121392,"SampleFrame"
"PP",20,11,1,8,5,0.0168853485598331,0.01,14715.8537730487,14715.8537730487,"SampleFrame"
"RI",30,7,8,15,15,0.0536643783706264,0.05,46769.3718092546,15589.7906030849,"SampleFrame"
"SD",94,0,12,82,75,0.13615761223768,0.3,118663.556436348,7910.9037624232,"SampleFrame"
"SS",100,1,11,88,80,0.243061236884318,0.33,211831.790573432,13239.4869108395,"SampleFrame"
"MMS",8,1,0,7,3,0.125294878066232,0.1,11924.0872917464,7154.45237504785,"ACEC-WSA"
"OT",5,1,3,1,1,0.02410083677976,0.01,2293.63311574539,458.726623149078,"ACEC-WSA"
"PJ",5,0,1,4,3,0.387022616229122,0.12,36832.2435124335,22099.3461074601,"ACEC-WSA"
"SS",10,0,2,8,11,0.223523440711249,0.33,21272.3222204146,9669.23737291571,"ACEC-WSA"
"SD",12,0,2,10,10,0.149369715376222,0.3,14215.2460849028,7107.62304245142,"ACEC-WSA"
"AS",3,1,2,0,1,0.0150160726613776,0.01,1429.0525195996,285.810503919921,"ACEC-WSA"
"GR",3,2,0,1,1,0.0123443749913924,0.02,1174.79187682042,234.958375364084,"ACEC-WSA"
"RI",1,1,0,0,2,0.0435770054720477,0.05,4147.14492069608,1658.85796827843,"ACEC-WSA"
"MC",2,0,2,0,2,0.0111804531563931,0.05,1064.02353755946,425.609415023785,"ACEC-WSA"
"PP",2,2,0,0,1,0.00824771806963141,0.01,784.920435199373,156.984087039875,"ACEC-WSA"
"AS",0,0,0,0,1,0.00102574466584175,0.01,119.65183210558,23.930366421116,"DE-NM"
"GR",5,3,0,2,1,0.0317466067489423,0.02,3703.20196355021,740.640392710042,"DE-NM"
"MC",0,0,0,0,2,0.00594855642644286,0.05,693.891665742397,277.556666296959,"DE-NM"
"MMS",3,0,0,3,3,0.0273767056818247,0.1,3193.45847063945,1916.07508238367,"DE-NM"
"OT",1,0,3,1,1,0.0223509381369198,0.01,2607.20897355709,521.441794711418,"DE-NM"
"PJ",5,0,1,5,3,0.432704095542968,0.12,50474.3914498617,30284.634869917,"DE-NM"
"PP",2,1,0,1,1,0.00999624402046151,0.01,1166.04936009211,233.209872018422,"DE-NM"
"RI",2,1,0,1,2,0.0567457964487881,0.05,6619.32616906762,2647.73046762705,"DE-NM"
"SS",9,0,1,9,11,0.180145930291308,0.33,21013.7974132488,9551.72609693126,"DE-NM"
"SD",16,0,1,16,10,0.183980079962326,0.3,21461.0461760077,10730.5230880039,"DE-NM"
"AS",0,0,0,0,0,0.00184546320336056,0.01,103.862269133425,0,"GG-NM"
"GR",0,0,0,0,0,0.0163720643501559,0.02,921.416233447068,0,"GG-NM"
"MC",0,0,1,0,1,0.00681280206122828,0.05,383.423023524679,76.6846047049358,"GG-NM"
"MMS",0,0,0,0,2,0.0287252077628007,0.1,1616.64846751792,646.659387007167,"GG-NM"
"OT",2,1,0,1,0,0.0405409143539101,0.01,2281.63387374692,0,"GG-NM"
"PJ",1,0,0,1,2,0.287694672657507,0.12,16191.3938275195,6476.55753100781,"GG-NM"
"PP",0,0,0,0,0,0.0003912223921471,0.01,22.0179114437026,0,"GG-NM"
"RI",0,0,1,0,1,0.0434414924936673,0.05,2444.87778283457,488.975556566914,"GG-NM"
"SS",6,0,1,6,7,0.231639221823096,0.33,13036.605202985,9311.86085927499,"GG-NM"
"SD",12,0,3,12,6,0.331531339284656,0.3,18658.5119249437,15548.7599374531,"GG-NM"
