"StratumName","Stratum","Total","NotSampled","Rejected","Sampled","DesiredSS","PropArea","PropTarget","Acres","ApproxStWgt"
"Aspen","AS",20,5,11,4,5,0.0148387942988408,0.01,12932.2487064045,12932.2487064045
"Grassland","GR",20,12,0,8,5,0.0205015231773546,0.02,17867.4083116293,17867.4083116293
"Mixed Conifer","MC",30,0,21,9,15,0.017599601100546,0.05,15338.3363892005,5112.77879640017
"Mixed Mountain Shrub","MMS",40,6,6,28,25,0.070982004102295,0.1,61861.9621138364,12372.3924227673
"Other","OT",20,6,8,6,5,0.0191452344121209,0.01,16685.3807643457,16685.3807643457
"Pinion Juniper Woodland","PJ",40,0,8,32,25,0.407164266856385,0.12,354850.229560696,70970.0459121392
"Ponderosa Pine","PP",20,11,1,8,5,0.0168853485598331,0.01,14715.8537730487,14715.8537730487
"Riparian","RI",30,7,8,15,15,0.0536643783706264,0.05,46769.3718092546,15589.7906030849
"Salt Desert","SD",94,0,12,82,75,0.13615761223768,0.3,118663.556436348,7910.9037624232
"Sagebrush","SS",100,1,11,88,80,0.243061236884318,0.33,211831.790573432,13239.4869108395
