"Plot.ID","Panel","Plot.Status","xcoord","ycoord","AoInference"
"AS-001","2018","rejected",-108.202302068,38.0878810919042,"ACEC-WSA"
"AS-002","2019","sampled",-108.134062869,37.9943573258526,"SampleFrame"
"AS-003","2020","rejected",-108.078613818,38.0198972049563,"SampleFrame"
"AS-004","2021","sampled",-107.699283616,38.0981520779832,"SampleFrame"
"AS-005","2022","rejected",-108.211856288,38.0322904142598,"SampleFrame"
"AS-006","OverSample 2018","rejected",-108.130440845,37.9907334921121,"SampleFrame"
"AS-007","OverSample 2018","rejected",-107.975307954,37.9651614255944,"SampleFrame"
"AS-008","OverSample 2018","sampled",-108.158622648,38.8708885483234,"SampleFrame"
"AS-009","OverSample 2019","rejected",-108.150131787,38.0500393079455,"SampleFrame"
"AS-010","OverSample 2019","rejected",-108.18626192,37.9583503509877,"ACEC-WSA"
"AS-011","OverSample 2019","rejected",-107.982769806,37.9464812945593,"SampleFrame"
"AS-012","OverSample 2020","sampled",-107.463081241,38.5446295355037,"SampleFrame"
"AS-013","OverSample 2020","not_sampled",-108.190262519,38.0025489390948,"SampleFrame"
"AS-014","OverSample 2020","rejected",-108.044014197,38.0143783679933,"SampleFrame"
"AS-015","OverSample 2021","rejected",-108.04406746,37.9579415667911,"SampleFrame"
"AS-016","OverSample 2021","not_sampled",-107.605527244,38.2871450625748,"SampleFrame"
"AS-017","OverSample 2021","not_sampled",-108.209027053,38.0146386556758,"ACEC-WSA"
"AS-018","OverSample 2022","not_sampled",-108.105175673,38.0249545205247,"SampleFrame"
"AS-019","OverSample 2022","rejected",-108.009455048,37.9891600716196,"SampleFrame"
"AS-020","OverSample 2022","not_sampled",-107.761180041,38.8941059908911,"SampleFrame"
"GR-021","2018","sampled",-108.57238897,38.3667790279337,"SampleFrame"
"GR-022","2019","sampled",-108.686254731,38.3889038099328,"SampleFrame"
"GR-023","2020","sampled",-108.619077951,38.1192537311053,"SampleFrame"
"GR-024","2021","sampled",-108.385389794,38.7131629122555,"DE-NM"
"GR-025","2022","sampled",-108.652218545,38.4075618288359,"SampleFrame"
"GR-026","OverSample 2018","sampled",-108.700074852,38.4403165472751,"SampleFrame"
"GR-027","OverSample 2018","sampled",-108.9838158,38.2751841135149,"SampleFrame"
"GR-028","OverSample 2018","sampled",-108.304940501,38.8235639001606,"DE-NM"
"GR-029","OverSample 2019","not_sampled",-108.769632414,38.4923974006466,"SampleFrame"
"GR-030","OverSample 2019","not_sampled",-108.767132011,38.3493332094159,"SampleFrame"
"GR-031","OverSample 2019","not_sampled",-108.163273958,38.5314041877054,"SampleFrame"
"GR-032","OverSample 2020","not_sampled",-108.260072768,38.7730474711797,"DE-NM"
"GR-033","OverSample 2020","not_sampled",-108.743736139,38.5182554378999,"SampleFrame"
"GR-034","OverSample 2020","not_sampled",-108.78655431,38.4113668429688,"SampleFrame"
"GR-035","OverSample 2021","not_sampled",-108.182013691,38.7853379864984,"SampleFrame"
"GR-036","OverSample 2021","not_sampled",-108.26925083,38.7752395495628,"DE-NM"
"GR-037","OverSample 2021","not_sampled",-108.742531061,38.467393665183,"SampleFrame"
"GR-038","OverSample 2022","not_sampled",-108.531190079,38.315311732566,"SampleFrame"
"GR-039","OverSample 2022","not_sampled",-108.152160856,38.6374019079423,"SampleFrame"
"GR-040","OverSample 2022","not_sampled",-108.369499851,38.7061087983193,"DE-NM"
"MC-041","2018","rejected",-108.67153919,38.5088422393564,"SampleFrame"
"MC-042","2018","rejected",-107.975646831,37.9492616127923,"SampleFrame"
"MC-043","2018","rejected",-107.33987981,38.9805023513182,"SampleFrame"
"MC-044","2019","sampled",-107.547625349,38.8172060279131,"SampleFrame"
"MC-045","2019","rejected",-107.845556881,38.622892428166,"GG-NM"
"MC-046","2019","rejected",-107.999651488,37.9912779085565,"SampleFrame"
"MC-047","2020","rejected",-107.377298743,38.9511458609871,"SampleFrame"
"MC-048","2020","sampled",-107.603147642,38.2895371756556,"SampleFrame"
"MC-049","2020","sampled",-108.420988597,38.0316186134411,"SampleFrame"
"MC-050","2021","rejected",-108.103951785,38.0212717151264,"SampleFrame"
"MC-051","2021","rejected",-107.490178556,38.8956233004503,"SampleFrame"
"MC-052","2021","sampled",-107.598667636,38.2902201325546,"SampleFrame"
"MC-053","2022","rejected",-108.194546997,38.0996564280407,"ACEC-WSA"
"MC-054","2022","rejected",-108.127767264,38.034015738724,"SampleFrame"
"MC-055","2022","rejected",-107.538986371,38.891887015002,"SampleFrame"
"MC-056","OverSample 2018","sampled",-107.631250678,38.3155747445576,"SampleFrame"
"MC-057","OverSample 2018","sampled",-108.174231736,38.870014814626,"SampleFrame"
"MC-058","OverSample 2018","rejected",-107.340452716,38.9402553692969,"SampleFrame"
"MC-059","OverSample 2019","rejected",-108.193353243,38.125339268899,"SampleFrame"
"MC-060","OverSample 2019","rejected",-107.505462012,38.9574734683957,"SampleFrame"
"MC-061","OverSample 2019","rejected",-107.960365574,37.9691897651485,"SampleFrame"
"MC-062","OverSample 2020","rejected",-107.628590278,38.5014884769685,"SampleFrame"
"MC-063","OverSample 2020","rejected",-108.034924031,37.994197289821,"SampleFrame"
"MC-064","OverSample 2020","rejected",-107.715984784,38.1107169409175,"SampleFrame"
"MC-065","OverSample 2021","rejected",-108.032592149,38.0105033411046,"SampleFrame"
"MC-066","OverSample 2021","sampled",-107.636879431,38.2833183560701,"SampleFrame"
"MC-067","OverSample 2021","rejected",-108.085427071,38.0140724612375,"SampleFrame"
"MC-068","OverSample 2022","sampled",-107.638732916,38.3349064007035,"SampleFrame"
"MC-069","OverSample 2022","rejected",-109.041421334,38.327986437566,"SampleFrame"
"MC-070","OverSample 2022","sampled",-107.629521313,38.3343086315956,"SampleFrame"
"MMS-071","2018","sampled",-108.483431739,38.6384067993034,"DE-NM"
"MMS-072","2018","sampled",-108.131876056,38.4523249007477,"SampleFrame"
"MMS-073","2018","sampled",-107.862607293,38.3248356682934,"SampleFrame"
"MMS-074","2018","sampled",-107.76061668,38.6192080475493,"ACEC-WSA"
"MMS-075","2018","sampled",-108.680807417,38.4788406991973,"SampleFrame"
"MMS-076","2019","sampled",-107.973550681,38.3544400755079,"SampleFrame"
"MMS-077","2019","rejected",-108.99731799,38.4320777666396,"SampleFrame"
"MMS-078","2019","rejected",-107.517780583,38.6557475746138,"SampleFrame"
"MMS-079","2019","sampled",-108.203991901,38.851207349503,"SampleFrame"
"MMS-080","2019","rejected",-108.193309334,38.5809479128609,"SampleFrame"
"MMS-081","2020","sampled",-107.620490683,38.6083579423762,"ACEC-WSA"
"MMS-082","2020","sampled",-107.636356369,38.772082202943,"SampleFrame"
"MMS-083","2020","sampled",-108.04933216,38.3885464589257,"SampleFrame"
"MMS-084","2020","sampled",-108.444143774,38.0622197632363,"SampleFrame"
"MMS-085","2020","sampled",-107.71988833,38.6482725689527,"ACEC-WSA"
"MMS-086","2021","rejected",-107.418328055,38.9403392512324,"SampleFrame"
"MMS-087","2021","sampled",-108.478288183,38.6853495085916,"DE-NM"
"MMS-088","2021","sampled",-107.766008289,38.3588423196539,"SampleFrame"
"MMS-089","2021","sampled",-107.604218686,38.5937610567138,"ACEC-WSA"
"MMS-090","2021","sampled",-107.708375932,38.7844358301513,"SampleFrame"
"MMS-091","2022","sampled",-108.069035311,38.3709251797749,"SampleFrame"
"MMS-092","2022","sampled",-107.733595072,38.2669989676843,"SampleFrame"
"MMS-093","2022","sampled",-107.697600646,38.6246980586501,"ACEC-WSA"
"MMS-094","2022","sampled",-107.507507523,38.8554139859544,"SampleFrame"
"MMS-095","2022","sampled",-108.33954379,38.5359487650525,"DE-NM"
"MMS-096","OverSample 2018","sampled",-107.898955808,38.3516646408995,"SampleFrame"
"MMS-097","OverSample 2018","sampled",-108.064750811,38.0301160866633,"SampleFrame"
"MMS-098","OverSample 2018","sampled",-107.728778648,38.3934767547635,"SampleFrame"
"MMS-099","OverSample 2019","sampled",-107.838595356,38.9676235880027,"SampleFrame"
"MMS-100","OverSample 2019","sampled",-108.339982624,38.098830934983,"SampleFrame"
"MMS-101","OverSample 2019","sampled",-107.703628427,38.6379811110329,"ACEC-WSA"
"MMS-102","OverSample 2020","sampled",-107.646602771,38.7374505321081,"SampleFrame"
"MMS-103","OverSample 2020","rejected",-108.06025005,38.8232892148492,"SampleFrame"
"MMS-104","OverSample 2020","rejected",-107.85722295,38.6684924475433,"SampleFrame"
"MMS-105","OverSample 2021","not_sampled",-107.615078688,38.5624257826324,"SampleFrame"
"MMS-106","OverSample 2021","not_sampled",-107.627792598,38.7867263627507,"SampleFrame"
"MMS-107","OverSample 2021","not_sampled",-108.095485343,38.4110745406149,"SampleFrame"
"MMS-108","OverSample 2022","not_sampled",-107.878882314,38.2802871171438,"SampleFrame"
"MMS-109","OverSample 2022","not_sampled",-107.724711709,38.6208668198517,"ACEC-WSA"
"MMS-110","OverSample 2022","not_sampled",-107.373674494,38.9534974242649,"SampleFrame"
"OT-111","2018","sampled",-108.30580579,38.7709905539416,"DE-NM"
"OT-112","2019","sampled",-107.946593553,38.6608382376992,"SampleFrame"
"OT-113","2020","sampled",-108.999805201,38.2313057255209,"SampleFrame"
"OT-114","2021","rejected",-107.924506385,38.8291556465858,"SampleFrame"
"OT-115","2022","rejected",-108.101823555,38.8265498780322,"ACEC-WSA"
"OT-116","OverSample 2018","not_sampled",-108.289055185,38.5528127064496,"SampleFrame"
"OT-117","OverSample 2018","sampled",-108.716717517,38.2474837404055,"SampleFrame"
"OT-118","OverSample 2018","not_sampled",-107.841973981,38.5264014702573,"SampleFrame"
"OT-119","OverSample 2019","rejected",-108.457755345,38.6954291141014,"DE-NM"
"OT-120","OverSample 2019","rejected",-108.320023924,38.6823194577227,"DE-NM"
"OT-121","OverSample 2019","rejected",-108.924949841,38.4015406106033,"SampleFrame"
"OT-122","OverSample 2020","sampled",-107.839792499,38.5569782524668,"GG-NM"
"OT-123","OverSample 2020","rejected",-108.372368528,38.6648601488183,"DE-NM"
"OT-124","OverSample 2020","rejected",-108.909084589,38.2949845105902,"SampleFrame"
"OT-125","OverSample 2021","rejected",-108.846423935,38.4091309133347,"SampleFrame"
"OT-126","OverSample 2021","sampled",-107.775565359,38.4473901521791,"SampleFrame"
"OT-127","OverSample 2021","not_sampled",-108.068419625,38.5189722806747,"SampleFrame"
"OT-128","OverSample 2022","not_sampled",-108.970577372,38.2528538797369,"SampleFrame"
"OT-129","OverSample 2022","not_sampled",-108.842866205,38.3847162941155,"SampleFrame"
"OT-130","OverSample 2022","not_sampled",-107.825087547,38.738814424366,"GG-NM"
"PJ-131","2018","sampled",-107.601655668,38.7674128512916,"SampleFrame"
"PJ-132","2018","sampled",-108.382758114,38.2639289022737,"SampleFrame"
"PJ-133","2018","sampled",-108.660663023,38.1362626669189,"SampleFrame"
"PJ-134","2018","rejected",-108.478627235,38.6770324989133,"DE-NM"
"PJ-135","2018","rejected",-107.811632257,38.8945065282875,"SampleFrame"
"PJ-136","2019","sampled",-107.994019133,38.3463389659349,"SampleFrame"
"PJ-137","2019","sampled",-108.602912138,38.3690679857677,"SampleFrame"
"PJ-138","2019","sampled",-108.345839104,38.6429103383794,"DE-NM"
"PJ-139","2019","rejected",-107.537346048,38.8833324827664,"SampleFrame"
"PJ-140","2019","sampled",-108.78336773,38.4437493807238,"SampleFrame"
"PJ-141","2020","sampled",-108.635377443,38.3587688804326,"SampleFrame"
"PJ-142","2020","sampled",-108.276134757,38.591710656205,"DE-NM"
"PJ-143","2020","sampled",-107.964921309,38.3697515437937,"SampleFrame"
"PJ-144","2020","rejected",-108.763385929,38.3293529217679,"SampleFrame"
"PJ-145","2020","rejected",-108.773306291,38.2399216016159,"SampleFrame"
"PJ-146","2021","sampled",-108.722038697,38.5370180150391,"SampleFrame"
"PJ-147","2021","sampled",-107.825581346,38.7004549414943,"GG-NM"
"PJ-148","2021","sampled",-108.985941689,38.3491217948342,"SampleFrame"
"PJ-149","2021","sampled",-108.697284229,38.4683388258343,"SampleFrame"
"PJ-150","2021","sampled",-108.350263608,38.8052804006268,"DE-NM"
"PJ-151","2022","sampled",-108.167321403,38.5494329635782,"SampleFrame"
"PJ-152","2022","sampled",-108.538742231,38.1336970061526,"SampleFrame"
"PJ-153","2022","sampled",-108.076809192,38.0363453798729,"SampleFrame"
"PJ-154","2022","sampled",-108.975845523,38.2482372632587,"SampleFrame"
