Plot ID,Panel,Plot Status
AS-1,2018,Rejected
AS-6,OverSample 2018,Rejected
AS-7,OverSample 2018,Rejected
AS-8,OverSample 2018,Sampled
GR-21,2018,Sampled
GR-26,OverSample 2018,Not Sampled
GR-27,OverSample 2018,Not Sampled
GR-28,OverSample 2018,Not Sampled
MC-41,2018,Rejected
MC-42,2018,Rejected
MC-43,2018,Rejected
MC-56,OverSample 2018,Sampled
MC-57,OverSample 2018,Sampled
MC-58,OverSample 2018,Rejected
MMS-71,2018,Sampled
MMS-72,2018,Sampled
MMS-73,2018,Sampled
MMS-74,2018,Sampled
MMS-75,2018,Sampled
MMS-96,OverSample 2018,Not Sampled
MMS-97,OverSample 2018,Not Sampled
MMS-98,OverSample 2018,Not Sampled
OT-111,2018,Sampled
OT-116,OverSample 2018,Not Sampled
OT-117,OverSample 2018,Not Sampled
OT-118,OverSample 2018,Not Sampled
PJ-131,2018,Sampled
PJ-132,2018,Sampled
PJ-133,2018,Sampled
PJ-134,2018,Rejected
PJ-135,2018,Rejected
PJ-156,OverSample 2018,Sampled
PJ-157,OverSample 2018,Sampled
PJ-158,OverSample 2018,Not Sampled
PP-171,2018,Sampled
PP-176,OverSample 2018,Not Sampled
PP-177,OverSample 2018,Not Sampled
PP-178,OverSample 2018,Not Sampled
RI-191,2018,Rejected
RI-192,2018,Rejected
RI-193,2018,Rejected
RI-206,OverSample 2018,Sampled
RI-207,OverSample 2018,Sampled
RI-208,OverSample 2018,Sampled
SS-221,2018,Sampled
SS-222,2018,Sampled
SS-223,2018,Sampled
SS-224,2018,Sampled
SS-225,2018,Sampled
SS-226,2018,Rejected
SS-227,2018,Sampled
SS-228,2018,Sampled
SS-229,2018,Sampled
SS-230,2018,Sampled
SS-231,2018,Sampled
SS-232,2018,Sampled
SS-233,2018,Sampled
SS-234,2018,Sampled
SS-235,2018,Rejected
SS-236,2018,Rejected
SS-301,OverSample 2018,Sampled
SS-302,OverSample 2018,Sampled
SS-303,OverSample 2018,Rejected
SS-304,OverSample 2018,Sampled
SD-321,2018,Rejected
SD-322,2018,Rejected
SD-323,2018,Sampled
SD-324,2018,Sampled
SD-325,2018,Sampled
SD-326,2018,Sampled
SD-327,2018,Sampled
SD-328,2018,Sampled
SD-329,2018,Rejected
SD-330,2018,Sampled
SD-331,2018,Sampled
SD-332,2018,Sampled
SD-333,2018,Sampled
SD-334,2018,Sampled
SD-335,2018,Sampled
SD-396,OverSample 2018,Sampled
SD-397,OverSample 2018,Sampled
SD-398,OverSample 2018,Sampled
MC-044,2019,Sampled
AS-002,2019,Sampled
AS-003,2020,Rejected
AS-004,2021,Rejected
AS-005,2022,Rejected
AS-006,2023,Rejected
AS-007,Oversample,Rejected
AS-008,Oversample,Rejected
AS-009,Oversample,Rejected
AS-010,Oversample,Rejected
AS-011,Oversample,Rejected
GR-022,2019,Sampled
MC-045,2019,Rejected
MC-046,2019,Rejected
MC-047,2020,Rejected
MC-048,2020,Sampled
MC-049,2020,Sampled
MC-050,2021,Rejected
MC-051,2021,Rejected
MC-052,2021,Sampled
MMS-076,2019,Sampled
MMS-077,2019,Rejected
MMS-078,2019,Rejected
MMS-079,2019,Sampled
MMS-080,2019,Rejected
MMS-081,2020,Sampled
MMS-082,2020,Sampled
MMS-083,2020,Not Sampled
MMS-084,2020,Not Sampled
MMS-085,2020,Sampled
OT-112,2019,Sampled
PJ-136,2019,Sampled
PJ-137,2019,Sampled
PJ-138,2019,Sampled
PJ-139,2019,Rejected
PJ-140,2019,Sampled
PJ-141,2020,Sampled
PJ-144,Oversample,Rejected
PP-172,2019,Sampled
RI-194,2019,Sampled
RI-195,2019,Sampled
RI-196,2019,Sampled
SD-329,2019,Sampled
SD-336,2019,Sampled
SD-337,2019,Sampled
SD-338,2019,Sampled
SD-339,2019,Sampled
SD-340,2019,Sampled
SD-341,2019,Sampled
SD-342,2019,Sampled
SD-343,2019,Sampled
SD-344,2019,Sampled
SD-345,2019,Rejected
SD-346,2019,Rejected
SD-347,2019,Sampled
SD-348,2019,Sampled
SD-349,2019,Rejected
SD-350,2019,Sampled
SD-351,2020,Rejected
SD-352,2020,Sampled
SD-353,2020,Sampled
SD-354,2020,Sampled
SS-237,2019,Sampled
SS-238,2019,Sampled
SS-239,2019,Sampled
SS-240,2019,Sampled
SS-241,2019,Sampled
SS-242 ,2019,Sampled
SS-243,2019,Sampled
SS-244,2019,Sampled
SS-245,2019,Sampled
SS-246,2019,Sampled
SS-247,2019,Sampled
SS-248,2019,Sampled
